# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=876692233
# chain_id=4
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
352.127,0.99976,0.000800193,7,127,0,-341.435,-0.388123,-0.0318435,3.2551,-0.592359,0.75935,-0.35977,-1.75788,0.0221424,0.0570349,0.0650945,-0.769622,-0.769622
351.516,0.922754,0.00138116,7,127,0,-345.897,-0.367766,0.0973736,3.25568,-0.520809,0.756916,-0.345053,-1.7541,0.0272675,0.0443452,0.00360861,-0.873606,-0.873606
352.636,0.744791,0.00196794,6,63,0,-343.058,-0.324617,0.0243293,3.24023,-0.630824,0.767348,-0.364908,-1.75591,0.0190206,0.0124527,0.045074,-0.847572,-0.847572
354.811,0.99515,0.00182884,5,31,0,-351.772,-0.327301,0.0242385,3.24378,-0.601218,0.765821,-0.35138,-1.75345,0.0202518,0.0295043,0.0442516,-0.846842,-0.846842
355.197,0.974925,0.00306847,4,31,0,-351.969,-0.344616,0.0457404,3.2501,-0.587558,0.769213,-0.357756,-1.75687,0.0249427,0.0311064,0.0425769,-0.843633,-0.843633
355.197,0.0113305,0.00487536,1,3,0,-351.618,-0.344616,0.0457404,3.2501,-0.587558,0.769213,-0.357756,-1.75687,0.0249427,0.0311064,0.0425769,-0.843633,-0.843633
350.653,0.999135,0.000818256,8,511,0,-346.838,-0.359033,0.15822,3.2932,-0.601338,0.769964,-0.354641,-1.75504,0.0238239,0.0459477,-0.0165237,-0.696732,-0.696732
350.823,0.913996,0.00137768,6,63,0,-345.521,-0.363077,0.118566,3.31261,-0.581396,0.776226,-0.348642,-1.75556,0.0159751,0.0453947,-0.0316025,-0.707299,-0.707299
351.382,0.905265,0.00189443,6,127,0,-347.15,-0.370821,0.117399,3.29888,-0.596332,0.776993,-0.351481,-1.75609,0.0262588,0.02405,-0.018562,-0.692498,-0.692498
352.344,0.746029,0.00254264,6,127,0,-345.29,-0.354488,-0.016673,3.2433,-0.573362,0.763478,-0.350629,-1.75688,0.0194162,0.0238975,0.0299303,-0.879392,-0.879392
349.282,0.899497,0.00236897,7,143,0,-342.266,-0.332133,0.0218391,3.33052,-0.6595,0.785967,-0.35291,-1.76166,0.0317131,0.033977,0.0331048,-0.636738,-0.636738
347.488,0.395434,0.0031211,5,31,0,-340.174,-0.342754,0.0123948,3.33254,-0.704727,0.778149,-0.37982,-1.75158,0.0212587,0.00826421,0.0459805,-0.689532,-0.689532
347.249,0.995074,0.00132476,7,127,0,-343.294,-0.394249,0.0503193,3.3417,-0.570164,0.773502,-0.353759,-1.7556,0.0161341,0.0670867,0.012156,-0.584873,-0.584873
350.976,0.999227,0.00215851,5,63,0,-344.822,-0.313879,0.036628,3.35233,-0.651584,0.788953,-0.365143,-1.76128,0.0232619,0.00382978,0.0471098,-0.635484,-0.635484
350.976,0.0125973,0.0035279,3,11,0,-345.664,-0.313879,0.036628,3.35233,-0.651584,0.788953,-0.365143,-1.76128,0.0232619,0.00382978,0.0471098,-0.635484,-0.635484
342.872,0.99935,0.000653956,8,255,0,-339.539,-0.451987,0.0450557,3.37062,-0.6396,0.797022,-0.364043,-1.76327,0.0258012,0.0610577,0.0133988,-0.531628,-0.531628
339.789,0.980027,0.0010699,7,127,0,-333.833,-0.295588,-0.0408574,3.39245,-0.621245,0.80777,-0.355335,-1.75565,0.0205984,0.00871948,0.0563254,-0.590373,-0.590373
344.853,0.998879,0.0016684,6,63,0,-336.86,-0.410858,0.107544,3.31084,-0.651674,0.781762,-0.362287,-1.76583,0.0315871,0.0427199,-0.0167033,-0.5879,-0.5879
348.755,0.99594,0.0026955,6,63,0,-341.755,-0.369195,0.134559,3.38769,-0.642594,0.796396,-0.364845,-1.75646,0.0227338,0.0416422,0.00651393,-0.597603,-0.597603
353.798,0.37485,0.00430303,4,22,1,-343.476,-0.343363,0.0249859,3.30042,-0.613466,0.773069,-0.359799,-1.7619,0.0240295,0.0194236,0.0334147,-0.725031,-0.725031
353.57,0.973975,0.00181079,5,63,0,-346.62,-0.360562,0.0382203,3.33182,-0.539174,0.78033,-0.353176,-1.76412,0.0298597,0.0403337,0.0338424,-0.732758,-0.732758
352.004,0.922492,0.00274934,5,39,0,-349.503,-0.353399,0.0233303,3.24238,-0.596767,0.771242,-0.337648,-1.75914,0.0191254,0.0319969,0.0222051,-0.756996,-0.756996
353.904,0.212931,0.00372585,3,11,0,-347.758,-0.355048,0.0306626,3.24825,-0.59993,0.76417,-0.35379,-1.75228,0.0233402,0.0402877,0.0274333,-0.749216,-0.749216
350.06,0.988119,0.00113151,7,127,0,-346.21,-0.348328,0.0306109,3.2525,-0.475312,0.767238,-0.338998,-1.75993,0.0165975,0.0529936,0.0362185,-0.88147,-0.88147
351.782,0.996428,0.0017609,7,255,0,-344.847,-0.34653,0.0556146,3.28524,-0.597715,0.780477,-0.355204,-1.76077,0.0198221,0.0177935,0.0363173,-0.672032,-0.672032
352.324,0.442172,0.00277446,6,63,0,-344.253,-0.300768,0.0427221,3.27521,-0.564175,0.765713,-0.352963,-1.75388,0.0179941,0.0127697,0.030154,-0.674841,-0.674841
346.093,0.969316,0.00138127,7,127,0,-342.624,-0.418478,-0.0207533,3.38197,-0.532938,0.791403,-0.33627,-1.75496,0.0109372,0.0599303,0.069476,-0.623798,-0.623798
352.202,0.995892,0.00205013,6,63,0,-342.816,-0.355115,0.0178284,3.35044,-0.641822,0.785424,-0.36976,-1.75827,0.0285801,0.0329145,0.0637233,-0.620089,-0.620089
350.23,0.604873,0.00319935,5,31,0,-347.18,-0.359395,0.0378701,3.31966,-0.599472,0.778224,-0.345668,-1.76091,0.0205879,0.0384365,0.0138857,-0.597615,-0.597615
354.342,0.975364,0.00223995,6,63,0,-346.684,-0.365905,0.0454225,3.30973,-0.593359,0.780587,-0.362059,-1.75583,0.0240544,0.0309066,0.017922,-0.703769,-0.703769
353.27,0.780526,0.00333514,6,79,0,-349.056,-0.389458,0.0320971,3.28492,-0.561132,0.777997,-0.353496,-1.76277,0.027783,0.0496877,0.0208067,-0.820933,-0.820933
350.856,0.441349,0.00333795,5,46,1,-348.136,-0.379171,0.0653038,3.29949,-0.54702,0.770187,-0.332874,-1.75616,0.023212,0.0533581,0.0407056,-0.810507,-0.810507
350.679,0.998589,0.00169081,6,127,0,-344.365,-0.36381,0.0412722,3.30553,-0.563861,0.768656,-0.368115,-1.76016,0.027272,0.0542717,0.0178188,-0.78664,-0.78664
351.973,0.996117,0.00262367,6,63,0,-345.254,-0.338617,0.00212538,3.23794,-0.544885,0.760979,-0.344315,-1.75323,0.0149812,0.0471768,0.0569051,-0.722011,-0.722011
350.082,0.149359,0.00403317,3,11,0,-347.588,-0.338076,-0.00481544,3.23435,-0.54218,0.758537,-0.344213,-1.74824,0.0167983,0.0439848,0.0531023,-0.731779,-0.731779
353.836,0.999832,0.00115638,7,127,0,-345.637,-0.367516,0.0865524,3.2649,-0.591148,0.77285,-0.35519,-1.76106,0.0249132,0.0328481,0.0210184,-0.795877,-0.795877
353.16,0.991338,0.00178967,4,31,0,-349.075,-0.349631,0.0690545,3.26348,-0.591502,0.765738,-0.361137,-1.75593,0.0250554,0.0527186,0.00956125,-0.77669,-0.77669
350.145,0.453233,0.0027123,5,47,0,-342.61,-0.374098,0.0466323,3.24913,-0.618537,0.769042,-0.343608,-1.74947,0.0167792,0.024501,0.0198282,-0.748365,-0.748365
351.012,0.999805,0.00143355,7,127,0,-345.85,-0.351693,0.00825367,3.3014,-0.496664,0.77187,-0.350695,-1.76222,0.025491,0.0255595,0.0603084,-0.85168,-0.85168
349.305,0.990904,0.00220154,5,31,0,-346.873,-0.348124,0.0198917,3.28832,-0.514963,0.765457,-0.332714,-1.75029,0.0159605,0.0553683,0.0622572,-0.860405,-0.860405
353.243,0.689195,0.0033096,5,63,0,-344.03,-0.366317,0.0243911,3.30137,-0.582202,0.777675,-0.356818,-1.76342,0.0236569,0.0504976,0.040684,-0.796903,-0.796903
353.478,0.417907,0.00277422,5,51,0,-346.763,-0.356015,0.0171148,3.277,-0.613336,0.774179,-0.35244,-1.76512,0.0289099,0.0355534,0.042553,-0.739826,-0.739826
349.931,0.976945,0.00138539,6,63,0,-344.721,-0.411663,0.0208976,3.2691,-0.624497,0.761192,-0.358077,-1.75611,0.0181382,0.0723246,0.0687634,-0.741516,-0.741516
348.567,0.99684,0.00202006,6,63,0,-346.559,-0.285547,0.0827067,3.29294,-0.560654,0.767236,-0.363679,-1.7593,0.0253892,0.0068971,0.034406,-0.727461,-0.727461
350.798,0.956597,0.00304803,4,15,0,-346.855,-0.294107,0.0840063,3.29322,-0.562255,0.772904,-0.359393,-1.7594,0.027538,0.0131191,0.0356395,-0.726977,-0.726977
350.798,0.0154206,0.00424632,2,7,0,-345.069,-0.294107,0.0840063,3.29322,-0.562255,0.772904,-0.359393,-1.7594,0.027538,0.0131191,0.0356395,-0.726977,-0.726977
347.195,0.998479,0.00100448,6,127,0,-342.742,-0.277105,0.041092,3.26659,-0.643705,0.76668,-0.357469,-1.75399,0.020793,-0.0167951,-0.00153052,-0.728519,-0.728519
345.902,0.955039,0.00151604,7,191,0,-337.617,-0.401714,0.0225269,3.20769,-0.452606,0.746888,-0.342474,-1.75008,0.0140887,0.0667079,0.0726531,-0.983566,-0.983566
349.582,0.939021,0.00210229,6,63,0,-342.21,-0.307257,0.00548631,3.19379,-0.531016,0.744254,-0.348843,-1.75182,0.0136315,0.0202921,0.0630075,-1.03808,-1.03808
345.279,0.902775,0.00282152,5,31,0,-341.561,-0.28749,0.0350818,3.18211,-0.524433,0.73952,-0.344047,-1.74887,0.0100079,0.0164004,0.0112007,-1.0099,-1.0099
347.124,0.532116,0.00353205,5,60,1,-337.774,-0.35156,0.0516544,3.18235,-0.605338,0.742123,-0.364692,-1.74808,0.0134737,0.0300292,0.0439228,-0.973773,-0.973773
347.763,0.967506,0.00223023,6,63,0,-340.589,-0.367791,0.074318,3.26922,-0.514115,0.752321,-0.350409,-1.74863,0.0148718,0.0544426,0.0240033,-1.0077,-1.0077
349.073,0.18027,0.00313996,5,32,1,-339.336,-0.358846,0.0579573,3.28388,-0.499685,0.766182,-0.346994,-1.75994,0.0227717,0.0460931,0.0444844,-1.00913,-1.00913
349.452,0.980134,0.0010472,6,63,0,-343.344,-0.368375,-0.0114615,3.22333,-0.533211,0.763057,-0.347795,-1.75871,0.0212403,0.0389969,0.0217825,-1.01717,-1.01717
